,prediction
0,203029.6923433377
1,732210.8534787409
2,392012.44973163994
3,438020.9495544662
4,434506.46152219595
5,1467790.8110118504
6,261390.71976044693
7,120822.99321948871
8,322658.23543353204
9,243326.5542149708
10,880004.5293999559
11,441333.09870089346
12,599368.1040612942
13,313891.1154408596
14,608183.9259367248
15,934002.5348975833
16,444048.1231322853
17,545097.747989986
18,347341.2149907205
19,212321.66066388914
20,454861.1447830646
21,1136539.9994282338
22,317109.13892508467
23,129433.8401871419
24,544524.7593459553
25,319448.3618071282
26,800783.8308951316
27,654903.0813872893
28,449161.52632896136
29,634351.8081121811
30,539686.6022469522
31,286858.07862343517
32,648177.7740988275
33,547565.4462993026
34,317788.74280393205
35,808303.9046888874
36,220894.2749406633
37,865435.567419938
38,96481.63469451334
39,574324.2490986596
40,652542.356152997
41,753232.8594783037
42,865657.1828629905
43,513466.46483982075
44,152246.757890468
45,823877.4088058601
46,34174.48901809179
47,749490.7470019333
48,414110.47597422614
49,1515580.557768582
50,180004.5036284158
51,660039.9533729065
52,464748.0113831371
53,484471.4858335124
54,795029.4801153612
55,761472.7612020487
56,268854.2778776897
57,461341.6259097832
58,1078212.5669836253
59,427318.93214688846
60,695943.3783323164
61,237157.69814732345
62,597228.748649877
63,368637.4586584631
64,356502.6643921025
65,752887.8850602206
66,865184.7309578089
67,309989.9048576571
68,113018.32055658841
69,782695.3307716203
70,1402727.08888656
71,447794.29928824236
72,818979.4675205386
73,383367.56793093984
74,301426.0126107911
75,978413.0749960928
76,408836.96671332023
77,298977.67429725325
78,404028.6183921469
79,800588.6524373783
80,410528.59698687785
81,212782.524982745
82,461953.60320270923
83,432728.19482036284
84,251247.36800111213
85,815081.7024595301
86,413404.2942105846
87,684452.6870013064
88,413529.78389427904
89,138637.0730239062
90,280955.55805542506
91,937970.6732918546
92,186316.00744331809
93,598283.222729158
94,598283.222729158
95,811172.5182645072
96,360365.7964420577
97,136951.52668824093
98,230650.7812046007
99,650851.6670333763
100,927736.2609213593
101,642849.9837858742
102,687891.2126309668
103,908714.3287164269
104,235004.13898222765
105,537457.11827441
106,513111.9087236918
107,235458.37908668444
108,987280.1758241404
109,536648.9768026604
110,530704.1496339447
111,499257.1664135945
112,200009.26792167407
113,522832.1494049663
114,833688.564692367
115,1333772.6730104017
116,474280.7207006989
117,136955.89197118225
118,221022.40579667763
119,440824.9346546546
120,843718.2750030863
121,415422.4055841183
122,254685.31375544105
123,564006.0956262137
124,852654.5230398707
125,960337.211260845
126,609090.8484124903
127,417373.11233594164
128,724813.9671547808
129,271666.91945601645
130,40591.85197481653
131,436796.4721273304
132,1017009.2485277022
133,390981.9421975438
134,645191.2937825196
135,289047.9652664236
136,297052.4436511212
137,765524.1262145516
138,226506.10834087228
139,323481.37491049885
140,440395.4224111439
141,685457.1611781741
142,300773.1156530362
143,464393.05596832326
144,586758.8588772216
145,989845.0531791185
146,816772.2152507502
147,360216.9195947164
148,449253.1316008975
149,424412.9710174083
150,432226.098866645
151,360268.79647753667
152,261452.14011058118
153,1603662.024822514
154,363079.2816749996
155,210992.50933638605
156,865315.5052646655
157,548069.1683443926
158,276211.56501765526
159,417537.2106506844
160,290553.37480715255
161,520880.1566644028
162,960669.6831500595
163,532936.1842740866
164,360196.0024437711
165,434143.3852982342
166,118007.34887921502
167,720508.4560311005
168,784665.4046466043
169,495744.5142879179
170,305582.3124706582
171,373662.62774744537
172,447004.5826906662
173,1091226.2909198345
174,663781.3449108719
175,279352.8986042641
176,302829.9293038516
177,376512.9181535018
178,304916.7772509676
179,429905.245504968
180,247480.1126123572
181,632839.5569317254
182,735224.7735507521
183,77179.85647661594
184,822927.5897498507
185,1205686.7653272988
186,334886.69942563085
187,501035.8698104338
188,427911.5517416707
189,627542.3703112345
190,448215.70333293895
191,129114.14607168251
192,690201.6653350455
193,635303.9917072953
194,365180.12218541314
195,315566.08400967845
196,557979.3843885956
197,474647.13089196617
198,326037.0840476472
199,225749.13873227558
200,168502.9134740411
201,388620.6674235597
202,352621.44881636417
203,190005.87505266914
204,100973.90567338193
205,718956.6670747312
206,638521.4184003453
207,383473.75975884555
208,115028.51812498062
209,656899.4371300439
210,222102.0151989573
211,311391.2388681072
212,637303.2648660387
213,622135.1667281849
214,435581.5096958962
215,172307.96323140437
216,1110827.5400794337
217,470397.9031274386
218,1134084.8793152731
219,589728.6478653337
220,779989.4195334914
221,262254.10376111045
222,689732.9390390222
223,546208.0167011861
224,282812.0169432641
225,396214.0253376218
226,444593.3479729921
227,242852.334791407
228,278169.50518996234
229,330657.99823146325
230,1268004.9067484678
231,568689.0254800933
232,485045.36094084976
233,151379.74749523465
234,617735.5874281679
235,1133306.6854327905
236,355504.5744796512
237,602183.6147487819
238,1128690.7610732461
239,1030775.2559203447
240,269536.06399557873
241,179406.33339297958
242,496883.75596590654
243,151360.93366072339
244,613270.9451526201
245,676653.5342469537
246,1614020.46585105
247,148855.64203369903
248,310131.56839134195
249,485086.89899504883
250,319802.97225058055
251,742198.5945047097
252,247214.86883854837
253,290967.941615744
254,261145.7147268328
255,731985.5478068616
256,487534.5154015834
257,301276.6018634229
258,92978.20275764138
259,617577.4658559057
260,639201.6003274438
261,208444.46794297936
262,703376.7608955583
263,133322.33023199264
264,975080.6349336319
265,276634.24787784816
266,276951.4696322737
267,417917.93139496306
268,440357.2486891495
269,1665975.0244839364
270,1618316.6228470753
271,453397.8758796853
272,308184.0131843399
273,203731.7946105043
274,339522.7236819349
275,540502.2908015276
276,627817.1462817271
277,968656.070038025
278,385435.5333527286
279,541646.8503028933
280,437407.2116416509
281,165200.48081205582
282,1293684.4041428056
283,910300.0070796716
284,773020.0330607559
285,621881.7889524936
286,545683.8294682298
287,439709.8671910793
288,583467.175774779
289,463964.2319639452
290,345539.03167010436
291,881142.7483947033
292,511496.41284997296
293,710490.4492037625
294,869705.4705904727
295,920185.9616190942
296,137352.1708248341
297,614959.8438954003
298,440027.61359903135
299,360253.0479268973
300,1990400.7421797924
301,521290.13055654324
302,609750.1367066844
303,341397.88975948736
304,411278.88766117045
305,704981.6576776754
306,616058.2451406132
307,538485.0251108791
308,429944.16180375905
309,845501.42244761
310,881160.7574680692
311,252598.2873979595
312,1470149.2414606388
313,1367425.0451676184
314,1367425.0451676184
315,389183.67432224983
316,828018.9112152767
317,404822.55447697977
318,587872.7196414672
319,34048.79415644726
320,745244.4274371577
321,509469.52403875557
322,119572.19627280592
323,246913.64229015278
324,329696.7612869125
325,329696.7612869125
326,929926.9445378124
327,838993.544432012
328,144376.2442011714
329,763450.7265544134
330,939433.6513354355
331,296894.8047721644
332,336744.6118312959
333,473320.7880643476
334,798356.951122382
335,194120.99145755975
336,835996.6588759042
337,624204.1924160693
338,479385.2064117205
339,280575.73710211756
340,652816.1722060047
341,734072.5903233811
342,700949.9624398034
343,75903.73229696741
344,487060.61503235134
345,46756.48552177235
346,46756.48552177235
347,237094.63265651005
348,208561.61997708725
349,541124.1009919422
350,-43152.21151613371
351,733332.8092419311
352,328540.8609138746
353,681753.5289916806
354,215270.59745349124
355,468150.2901817941
356,188260.97744840058
357,433046.3303879688
358,527415.9079389392
359,744577.8883682553
360,333898.3952467814
361,688993.9678573263
362,209585.60919660144
363,520578.6425981197
364,846027.463313689
365,203468.87031728768
366,625130.9664580135
367,986686.3342524141
368,582299.7140754341
369,357817.3601966528
370,249448.9812779798
371,628375.1168163096
372,628375.1168163096
373,697520.8535713494
374,251637.01477325312
375,858046.0033858696
376,515163.2069960558
377,182866.4121848484
378,517832.45472463465
379,519583.49374278635
380,451526.11151020345
381,1183063.8998869716
382,450868.18824146746
383,637433.4750696113
384,1400117.5689528773
385,675204.758198215
386,420944.10956304683
387,280421.8921410377
388,426652.53509179386
389,505419.4982612693
390,302226.3470733673
391,716242.8569781372
392,472345.70677754865
393,956485.8460921335
394,1177227.0476881163
395,558482.6397586666
396,590420.7002856696
397,502591.07121702004
398,657689.0423774594
399,270037.95289673307
400,426451.6767284026
401,466758.8585166676
402,446589.946480855
403,343190.6339485068
404,210544.2734370242
405,503494.3891370185
406,362058.0221889379
407,123784.36267155822
408,374123.72337777575
409,1030769.3128071087
410,244087.10140504764
411,-173079.8120597923
412,880216.1226852087
413,704244.4710419169
414,662039.4333691355
415,707830.616457055
416,369576.79379709077
417,600498.6548766526
418,506821.7737845448
419,1625530.5836247287
420,403654.71516640775
421,499362.8668825299
422,554910.8660481287
423,538058.3517402748
424,430131.4486684719
425,212249.39928205998
426,422379.38942954014
427,734172.436664176
428,399563.47981029423
429,443366.81630315876
430,542889.5691565091
431,1308351.8428749475
432,876395.8076545936
433,194966.27623220393
434,693321.1099832318
435,610389.9828014267
436,1179736.429347385
437,1004603.0173857538
438,407358.2222544438
439,596189.346679705
440,357104.18922106293
441,393401.2644706225
442,542131.5822620108
443,3478.209225832339
444,182505.06893159234
445,524481.7203166395
446,958981.6352701117
447,416918.8397633132
448,525079.5324716192
449,837324.5514474458
450,1455148.2777170779
451,464148.6396709732
452,71377.65184098325
453,642709.7650679735
454,584890.0749496514
455,893982.4576329
456,652088.6513684986
457,1311283.4811292777
458,950084.6627024657
459,176190.96001104434
460,983386.9788328679
461,546441.9675612565
462,224831.19775471947
463,569928.3841114615
464,267614.77412459446
465,63890.950404566596
466,471564.0716171847
467,309283.3314995855
468,504140.72134672105
469,337478.8328871516
470,368440.4933270146
471,1138496.4489177405
472,1316791.2581089896
473,1204735.5381517343
474,807812.8497044027
475,277338.83875706315
476,549561.4710496743
477,369504.4844946974
478,139715.59905057325
479,873849.9851491603
480,390084.3672756229
481,534384.4722187506
482,882012.2372787949
483,432814.7069851754
484,1118381.0962223592
485,451780.2359330724
486,1262534.0814199657
487,299702.30710629054
488,692946.1495344382
489,858091.0245926674
490,397021.50560355454
491,377038.0879856241
492,243107.91840159963
493,703929.246338255
494,449043.37131776265
495,350796.22902695125
496,783000.6947319268
497,759804.2257194329
498,612696.3005530983
499,353559.08419997036
500,711355.1570724533
501,518047.21462515905
502,473851.4171880885
503,889758.4539201129
504,357622.4998753184
505,150543.95340018382
506,492071.1101803633
507,339249.36255294667
508,476607.9812536915
509,1149372.8423123755
510,632875.1015905936
511,517292.86190991115
512,1099498.9064365646
513,383133.3480264392
514,514994.084351575
515,450405.7030963022
516,342499.8772095421
517,731416.0723690786
518,1369313.802045529
519,741770.0490308094
520,177743.68805656116
521,106887.83433036145
522,580528.4210858106
523,250207.8589084965
