,prediction
0,203434.67607561755
1,732279.3627128958
2,388087.56859235547
3,437282.93851387163
4,429733.4229536549
5,1462308.1598918778
6,266339.02930570603
7,122158.21227425447
8,325811.2700651548
9,246261.82870545238
10,879548.6998632612
11,439689.2527224554
12,596557.9733770575
13,311525.672088733
14,601846.829043248
15,940953.3407560537
16,442774.4197552685
17,542389.686173808
18,344935.0089159481
19,213745.19712641917
20,452301.8003746612
21,1141850.077221983
22,320362.5399339318
23,129730.99236556527
24,547542.0203659725
25,319212.50222473324
26,800937.9183788981
27,651870.517534662
28,447374.26330258255
29,635393.2506588328
30,538937.6343714681
31,296311.3375788661
32,648091.1191115788
33,545094.2152553727
34,315520.89623772196
35,802147.2705631009
36,219907.05856928078
37,861186.481709727
38,97227.85500126728
39,576188.8409141677
40,651691.252507272
41,761964.0676369407
42,863764.5531440465
43,514231.42076289654
44,153536.68722578115
45,823777.9412173209
46,37751.81960832243
47,747166.0521252038
48,410603.69295338495
49,1510005.2442860538
50,181016.4817311779
51,657940.74432631
52,462610.260573618
53,487548.63862024515
54,791419.9151190253
55,761903.250718504
56,272133.4096807767
57,464630.13177478197
58,1080633.2277275166
59,426776.4001858091
60,701518.6659715323
61,237093.6770593535
62,604132.223698374
63,376993.82558248716
64,356110.6473940582
65,752861.4085004899
66,860225.2924863616
67,315176.60448810644
68,112171.22888800275
69,780650.2901449945
70,1399006.8097156044
71,442756.9275058048
72,816173.590385769
73,384219.761240539
74,302254.0018552665
75,973674.1653597773
76,404262.87971273274
77,297830.46283233946
78,403727.53836286627
79,800045.3147840103
80,412062.6300982948
81,213973.2951798833
82,463888.74286246847
83,429194.8900240713
84,250877.56790894672
85,813674.2681287723
86,412090.0155817828
87,686602.3545045981
88,416010.7868210813
89,146774.08783387602
90,285912.3567119547
91,939991.0974356689
92,188255.5786223627
93,594582.2414272388
94,594582.2414272388
95,807392.27951079
96,359878.62782120844
97,137909.43543736765
98,230565.8458542595
99,649462.4367617794
100,921257.7367587484
101,642717.9129811088
102,688395.1297639417
103,903483.8203091448
104,234371.88565037813
105,536128.2155342804
106,514057.0179237224
